,Date,Name,Text,Hashtags
100,2020-06-19 23:45:00+00:00,BlazeTV,"Most of the people siding with these BLM revolutionaries aren't doing it because they believe in the movement, they're doing it for business reasons, @MarkLevinShow says.",
101,2020-05-30 22:14:57+00:00,BlazeTV,"Tonight, @scrowder discusses the BLM riots. Join us at 8pm EST. You do not want to miss this! #CrowderRiotStream",#CrowderRiotStream
102,2020-07-27 17:00:10+00:00,freespeechtv,"Seattle & Portland Activists: Protest Federal and City Police Crackdowns & Keep Focus on BLM Agenda -- ""This revolution has brought us here to the streets, and it’s going to keep us into the streets until we see great movement."" https://buff.ly/30Pg1OF",
103,2020-07-28 17:20:04+00:00,nytimes,"Nearly every week since “Black Lives Matter” was painted in front of Trump Tower in Manhattan, someone has unloaded a bucket of paint on the giant yellow letters. As of Monday night, the words had been defaced at least 5 times. ",
104,2020-07-26 19:15:06+00:00,nytimes,A man who joined a Black Lives Matter demonstration in Austin on Saturday night was fatally shot by a motorist who threatened the protesters with his car. The motorist was detained and has been cooperating with the authorities. ,
105,2020-07-24 15:40:05+00:00,nytimes,"“There are more Black Lives Matter signs in Portland than Black people,"" one resident said. In a state with a brutal racist history, the Black Lives Matter protests in Portland, Oregon, have been overwhelmingly attended by white demonstrators. ",
106,2020-07-22 22:40:03+00:00,nytimes,"As of last week, Bakers Against Racism had raised almost $1.9 million for Black Lives Matter chapters and hundreds of other groups working for racial justice ",
107,2020-07-22 02:20:06+00:00,nytimes,A class-action lawsuit says that Whole Foods began “strictly enforcing” its dress code policy once employees started wearing Black Lives Matter apparel and that the company disciplined employees who refused to remove their Black Lives Matter masks ,
108,2020-07-19 22:00:07+00:00,nytimes,"“The meaning of great comedy adjusts to the moment, and by releasing it now, with the Black Lives Matter movement at the center of public consciousness, Buress makes his own statement,” @zinoman writes of Hannibal Buress’s new comedy special",
109,2020-07-19 21:31:05+00:00,nytimes,"“I’m very interested in the art going up and taking my child to visit it and discuss it,” said Sophia Dawson, an artist who helped paint a ""Black Lives Matter"" mural in Manhattan. “But I’m more interested in the tangible change that must come from this.” ",
110,2020-07-17 02:59:05+00:00,nytimes,"Federal employees may express support for Black Lives Matter in the workplace, an independent federal agency said this week ",
111,2020-07-16 08:10:01+00:00,nytimes,"After just 1 day, Bristol removed the statue of Jen Reid, a Black Lives Matter protester, that was raised on Wednesday in place of a toppled memorial to the slave trader Edward Colston ",
112,2020-07-16 02:00:07+00:00,nytimes,"At the height of Black Lives Matter protests in New York City, the police were repeatedly filmed using force against peaceful protesters. We reviewed more than 60 videos. In many, force did not appear warranted. ",
113,2020-07-15 14:10:06+00:00,nytimes,"“Why weren’t we doing this a long time ago?” While Black Lives Matter protests have tapered off in most big U.S. cities, activists in small towns are discussing plans for new events, and having unprecedented conversations about race in their communities. ",
